gene_id	transcript_id	swissprot_sseqid	swissprot_evalue	swissprot_bitscore	swissprot_title	uniref90_sseqid	uniref90_evalue	uniref90_bitscore	uniref90_title	pfam_ids	interpro_ids	GO_terms	signature_descriptions	interpro_descriptions
g16598	g16598.t1	sp|O81832|Y4729_ARATH	372	9	23	UniRef90_A0AAE1M7D2	144	0	1	PF00954;PF01453;PF07714;PF08276;PF11883	IPR000719;IPR000742;IPR000858;IPR001245;IPR001480;IPR003609;IPR008271;IPR011009;IPR021820;IPR036426	GO:0004672(InterPro);GO:0004674(InterPro);GO:0005524(InterPro);GO:0006468(InterPro);GO:0048544(InterPro)	Bulb-type lectin domain profile.;D-mannose binding lectin;Domain of unknown function (DUF3403);EGF-like domain profile.;PAN-like domain;PAN/Apple domain profile.;Protein kinase domain profile.;Protein kinase-like (PK-like);Protein tyrosine and serine/threonine kinase;S-locus glycoprotein domain;Serine/Threonine protein kinases active-site signature.;alpha-D-mannose-specific plant lectins;blect_4;ntp_6;serkin_6	Bulb-type lectin domain;Bulb-type lectin domain superfamily;EGF-like domain;PAN/Apple domain;Protein kinase domain;Protein kinase-like domain superfamily;S-locus glycoprotein domain;S-locus receptor kinase, C-terminal;Serine-threonine/tyrosine-protein kinase, catalytic domain;Serine/threonine-protein kinase, active site
g16599	g16599.t1	sp|P07761|SLSG6_BRAOL	102	3	4	UniRef90_A0AAE1MJP4	25	0	1	PF01453	IPR001480;IPR036426	-	Bulb-type lectin domain profile.;D-mannose binding lectin;alpha-D-mannose-specific plant lectins;blect_4	Bulb-type lectin domain;Bulb-type lectin domain superfamily
g16600	g16600.t1	sp|O81832|Y4729_ARATH	354	8	23	UniRef90_A0AAE1JQ96	12	0	89	PF00954;PF01453;PF07714;PF08276;PF11883	IPR000719;IPR000742;IPR000858;IPR001245;IPR001480;IPR003609;IPR008271;IPR011009;IPR021820;IPR036426	GO:0004672(InterPro);GO:0004674(InterPro);GO:0005524(InterPro);GO:0006468(InterPro);GO:0048544(InterPro)	Bulb-type lectin domain profile.;D-mannose binding lectin;Domain of unknown function (DUF3403);EGF-like domain profile.;PAN-like domain;PAN/Apple domain profile.;Protein kinase domain profile.;Protein kinase-like (PK-like);Protein tyrosine and serine/threonine kinase;S-locus glycoprotein domain;Serine/Threonine protein kinases active-site signature.;alpha-D-mannose-specific plant lectins;blect_4;ntp_6;serkin_6	Bulb-type lectin domain;Bulb-type lectin domain superfamily;EGF-like domain;PAN/Apple domain;Protein kinase domain;Protein kinase-like domain superfamily;S-locus glycoprotein domain;S-locus receptor kinase, C-terminal;Serine-threonine/tyrosine-protein kinase, catalytic domain;Serine/threonine-protein kinase, active site
g16601	g16601.t1	sp|O81832|Y4729_ARATH	375	9	23	UniRef90_A0AAE1JQ96	30	0	89	PF00954;PF01453;PF07714;PF08276;PF11883	IPR000719;IPR000742;IPR000858;IPR001245;IPR001480;IPR003609;IPR008271;IPR011009;IPR021820;IPR036426	GO:0004672(InterPro);GO:0004674(InterPro);GO:0005524(InterPro);GO:0006468(InterPro);GO:0048544(InterPro)	Bulb-type lectin domain profile.;D-mannose binding lectin;Domain of unknown function (DUF3403);EGF-like domain profile.;PAN-like domain;PAN/Apple domain profile.;Protein kinase domain profile.;Protein kinase-like (PK-like);Protein tyrosine and serine/threonine kinase;S-locus glycoprotein domain;Serine/Threonine protein kinases active-site signature.;alpha-D-mannose-specific plant lectins;blect_4;ntp_6;serkin_6	Bulb-type lectin domain;Bulb-type lectin domain superfamily;EGF-like domain;PAN/Apple domain;Protein kinase domain;Protein kinase-like domain superfamily;S-locus glycoprotein domain;S-locus receptor kinase, C-terminal;Serine-threonine/tyrosine-protein kinase, catalytic domain;Serine/threonine-protein kinase, active site
g16602	g16602.t1	sp|O81832|Y4729_ARATH	79	3	11	UniRef90_UPI0010A365DA	34	1	1	PF01453	IPR001480;IPR036426	-	Bulb-type lectin domain profile.;D-mannose binding lectin;alpha-D-mannose-specific plant lectins;blect_4	Bulb-type lectin domain;Bulb-type lectin domain superfamily
g33355	g33355.t1	sp|Q9LV16|B3GTJ_ARATH	223	7	5	UniRef90_A0AAE1J3V7	0	0	1	PF00337;PF01762	IPR001079;IPR002659;IPR013320	GO:0006486(InterPro);GO:0016020(InterPro);GO:0016758(InterPro);GO:0030246(InterPro)	Concanavalin A-like lectins/glucanases;Gal_bind_lectin_2;Galactoside-binding lectin;Galactoside-binding lectin (galectin) domain profile.;Galactosyltransferase	Concanavalin A-like lectin/glucanase domain superfamily;Galectin, carbohydrate recognition domain;Glycosyl transferase, family 31
g33356	g33356.t1	-	-	-	-	UniRef90_UPI002AB2E676	44	2	114	PF03732	IPR001878;IPR005162;IPR036875	GO:0003676(InterPro);GO:0008270(InterPro)	Retrotransposon gag protein;Retrovirus zinc finger-like domains;Zinc finger CCHC-type profile.;c2hcfinal6	Retrotransposon gag domain;Zinc finger, CCHC-type;Zinc finger, CCHC-type superfamily
g33357	g33357.t1	-	-	-	-	UniRef90_A0AAE1J6F3	4	1	1	PF13947;PF14380	IPR025287;IPR032872	GO:0030247(InterPro)	Wall-associated receptor kinase C-terminal;Wall-associated receptor kinase galacturonan-binding	Wall-associated receptor kinase, C-terminal;Wall-associated receptor kinase, galacturonan-binding domain
g33358	g33358.t1	-	-	-	-	UniRef90_A0AAE1J6S4	1	0	1	PF04601;PF22932	IPR007679;IPR008999;IPR054726	-	Actin-crosslinking proteins;Beta-trefoil domain of unknown function (DUF569);DUF569 associated ubiquitin-like domain	Actin-crosslinking;Beta-trefoil domain of unknown function DUF569;DUF569 associated ubiquitin-like domain
g33359	g33359.t1	sp|Q9SVN5|SYMC_ARATH	176	6	2	UniRef90_A0AAE1JEE7	40	1	1	PF01588;PF09334;PF19303	IPR001412;IPR002547;IPR009080;IPR012340;IPR015413;IPR029038;IPR041872	GO:0000049(InterPro);GO:0000166(InterPro);GO:0004812(InterPro);GO:0005524(InterPro);GO:0006418(InterPro)	Aminoacyl-transfer RNA synthetases class-I signature.;Anticodon binding domain of methionyl tRNA ligase;Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases;Methionyl-tRNA synthetase (MetRS), Zn-domain;Nucleic acid-binding proteins;Nucleotidylyl transferase;Putative tRNA binding domain;tRNA synthetases class I (M);tRNA-binding domain profile.	Aminoacyl-tRNA synthetase, class I, conserved site;Aminoacyl-tRNA synthetase, class Ia, anticodon-binding;Methionyl-tRNA synthetase, Zn-domain;Methionyl-tRNA synthetase, anticodon-binding domain;Methionyl/Leucyl tRNA synthetase;Nucleic acid-binding, OB-fold;tRNA-binding domain
g33359	g33359.t2	sp|Q9SVN5|SYMC_ARATH	176	6	6	UniRef90_A0AAE1JEE7	40	1	1	PF01588;PF09334;PF19303	IPR001412;IPR002547;IPR009080;IPR012340;IPR015413;IPR029038;IPR041872	GO:0000049(InterPro);GO:0000166(InterPro);GO:0004812(InterPro);GO:0005524(InterPro);GO:0006418(InterPro)	Aminoacyl-transfer RNA synthetases class-I signature.;Anticodon binding domain of methionyl tRNA ligase;Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases;Methionyl-tRNA synthetase (MetRS), Zn-domain;Nucleic acid-binding proteins;Nucleotidylyl transferase;Putative tRNA binding domain;tRNA synthetases class I (M);tRNA-binding domain profile.	Aminoacyl-tRNA synthetase, class I, conserved site;Aminoacyl-tRNA synthetase, class Ia, anticodon-binding;Methionyl-tRNA synthetase, Zn-domain;Methionyl-tRNA synthetase, anticodon-binding domain;Methionyl/Leucyl tRNA synthetase;Nucleic acid-binding, OB-fold;tRNA-binding domain
g33360	g33360.t1	-	-	-	-	UniRef90_UPI0010A2EB48	60	2	23	PF14244	IPR029472	-	gag-polypeptide of LTR copia-type	Retrotransposon Copia-like, N-terminal
g33361	g33361.t1	sp|Q94HW2|POLR1_ARATH	488	13	7	UniRef90_A0AAE1IZ24	1	0	227	PF07727;PF25597	IPR001584;IPR012337;IPR013103;IPR043502;IPR057670	GO:0015074(InterPro)	DNA/RNA polymerases;Integrase catalytic domain profile.;Retroviral polymerase SH3-like domain;Reverse transcriptase (RNA-dependent DNA polymerase);Ribonuclease H-like	DNA/RNA polymerase superfamily;Integrase, catalytic core;Retroviral polymerase, SH3-like domain;Reverse transcriptase, RNA-dependent DNA polymerase;Ribonuclease H-like superfamily
g33362	g33362.t1	-	-	-	-	UniRef90_A0A8B9AXM7	57	0	10	-	-	-	-	-
g33363	g33363.t1	-	-	-	-	UniRef90_A0AAE1J3Z5	7	0	1	PF01582	IPR000157	GO:0007165(InterPro)	TIR domain	Toll/interleukin-1 receptor homology (TIR) domain
g33363	g33363.t2	sp|V9M2S5|RPV1_VITRO	84	4	4	UniRef90_A0AAE1J3Z5	8	0	1	PF01582	IPR000157;IPR035897	GO:0007165(InterPro)	TIR domain;TIR domain profile.;Toll/Interleukin receptor TIR domain;till_3	Toll/interleukin-1 receptor homology (TIR) domain;Toll/interleukin-1 receptor homology (TIR) domain superfamily
g33364	g33364.t1	-	-	-	-	UniRef90_UPI00098DABCF	136	5	1	-	IPR038765	-	Cysteine proteinases	Papain-like cysteine peptidase superfamily
g33365	g33365.t1	sp|Q4PT23|WTR6_ARATH	185	2	12	UniRef90_A0AAE1MIS1	5	0	1	PF00892	IPR000620;IPR037185	GO:0016020(InterPro)	EamA-like transporter family;Multidrug resistance efflux transporter EmrE	EamA domain;Multidrug transporter EmrE superfamily
g33366	g33366.t1	-	-	-	-	UniRef90_A0AAN9I8H6	126	10	37	-	-	-	-	-
g33367	g33367.t1	sp|Q4PT23|WTR6_ARATH	190	2	12	UniRef90_A0AAE1MIS1	24	0	1	PF00892	IPR000620;IPR037185	GO:0016020(InterPro)	EamA-like transporter family;Multidrug resistance efflux transporter EmrE	EamA domain;Multidrug transporter EmrE superfamily
g33368	g33368.t1	-	-	-	-	UniRef90_A0AAE1MZR4	15	1	1	-	-	-	-	-
g33369	g33369.t1	-	-	-	-	UniRef90_A0AAE1MFJ7	0	0	1	PF13963	IPR029480	-	Transposase-associated domain	Transposase-associated domain
g33370	g33370.t1	-	-	-	-	UniRef90_UPI0010A3E84E	117	2	2	-	-	-	-	-
g33371	g33371.t1	-	-	-	-	UniRef90_A0AAE1TH31	138	2	177	PF20167	IPR046796	-	Putative plant transposon protein	Putative plant transposon protein domain
g33913	g33913.t1	sp|Q9W6I0|UQCC1_XENLA	114	4	101	UniRef90_A0AAE1J4L9	0	0	1	PF03981	IPR021150	-	Ubiquinol-cytochrome C chaperone	Ubiquinol-cytochrome c chaperone
g33913	g33913.t2	sp|Q9W6I0|UQCC1_XENLA	114	4	101	UniRef90_A0AAE1J4L9	0	0	1	PF03981	IPR021150	-	Ubiquinol-cytochrome C chaperone	Ubiquinol-cytochrome c chaperone
g33914	g33914.t1	-	-	-	-	UniRef90_A0AAE1K281	59	1	1	PF06880	IPR010683	-	Protein of unknown function (DUF1262)	Protein of unknown function DUF1262
g33915	g33915.t1	sp|Q8I2S0|LIPLB_PLAF7	132	7	25	UniRef90_A0AAE1MJ43	1	0	1	PF21948	IPR004143;IPR045864	GO:0036211(InterPro)	Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL) catalytic domain profile.;Class II aaRS and biotin synthetases;Lipoyl protein ligase A/B catalytic domain	Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain;Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)
g33916	g33916.t1	sp|Q8L4N1|PHO34_ARATH	96	4	12	UniRef90_A0AAE1MFV2	2	0	1	PF00582	IPR006016	-	Adenine nucleotide alpha hydrolases-like;Universal stress protein family	UspA
g33917	g33917.t1	-	-	-	-	UniRef90_A0AAE1MFY3	3	0	1	PF06880	IPR010683	-	Protein of unknown function (DUF1262)	Protein of unknown function DUF1262
g33918	g33918.t1	-	-	-	-	UniRef90_A0AAE1JX95	151	1	1	PF02992;PF13960;PF13963	IPR004242;IPR025452;IPR029480	-	Domain of unknown function (DUF4218);Transposase family tnp2;Transposase-associated domain	Domain of unknown function DUF4218;Transposase-associated domain;Transposon, En/Spm-like
g33919	g33919.t1	-	-	-	-	UniRef90_A0AAE1JX95	49	1	1	PF13952	IPR025312	-	Domain of unknown function (DUF4216)	Domain of unknown function DUF4216
g33920	g33920.t1	-	-	-	-	UniRef90_A0AAE1MFV0	25	2	1	PF06880	IPR010683	-	Protein of unknown function (DUF1262)	Protein of unknown function DUF1262
g33921	g33921.t1	-	-	-	-	-	-	-	-	-	-	-	-	-
g33922	g33922.t1	-	-	-	-	UniRef90_A0AAE1J4K4	2	0	1	PF06880	IPR010683	-	Protein of unknown function (DUF1262)	Protein of unknown function DUF1262
g34273	g34273.t1	sp|Q96499|RL44_GOSHI	3	1	43	UniRef90_A0A5D2DGZ1	16	1	43	PF00935	IPR000552;IPR011332	GO:0003735(InterPro);GO:0005840(InterPro);GO:0006412(InterPro)	Ribosomal protein L44;Ribosomal protein L44e signature.;Zn-binding ribosomal proteins	Large ribosomal subunit protein eL42;Zinc-binding ribosomal protein
g34274	g34274.t1	sp|O49621|MLO1_ARATH	128	3	3	UniRef90_A0AAE1MJF8	2	0	1	PF03094	IPR004326	GO:0006952(InterPro);GO:0016020(InterPro)	Mlo family	Mlo-related protein
g34275	g34275.t1	sp|Q9SKX4|RK3A_ARATH	37	0	64	UniRef90_A0AAE1KCL3	1	0	1	PF00297	IPR000597;IPR009000;IPR019926	GO:0003735(InterPro);GO:0005840(InterPro);GO:0006412(InterPro)	Ribosomal protein L3;Ribosomal protein L3 signature.;Translation proteins	Large ribosomal subunit protein uL3;Large ribosomal subunit protein uL3, conserved site;Translation protein, beta-barrel domain superfamily
g34276	g34276.t1	sp|O64862|CTU1_ARATH	44	3	6	UniRef90_A0AAE1KAV8	1	0	1	PF01171;PF16503	IPR011063;IPR032442	-	Adenine nucleotide alpha hydrolases-like;PP-loop family;Zinc-ribbon	Cytoplasmic tRNA 2-thiolation protein 1, C-terminal;tRNA(Ile)-lysidine/2-thiocytidine synthase, N-terminal
g34277	g34277.t1	sp|Q946J8|LHP1_ARATH	162	12	77	UniRef90_A0AAE1JI88	6	0	1	PF00385	IPR000953;IPR008251;IPR016197;IPR023779;IPR023780	GO:0005634(InterPro)	ChS_2;Chromo (CHRromatin Organisation MOdifier) domain;Chromo and chromo shadow domain profile.;Chromo domain signature.;Chromo domain-like;chromo_7	Chromo domain;Chromo domain, conserved site;Chromo shadow domain;Chromo-like domain superfamily;Chromo/chromo shadow domain
g34278	g34278.t1	sp|O22056|SIGB_ARATH	211	7	2	UniRef90_A0AAE1JKG4	14	0	1	PF04539;PF04542;PF04545	IPR000943;IPR007624;IPR007627;IPR007630;IPR013324;IPR013325	GO:0003700(InterPro);GO:0006352(InterPro);GO:0006355(InterPro)	Sigma-70 factors family signature 2.;Sigma-70 region 2;Sigma-70 region 3;Sigma-70, region 4;Sigma2 domain of RNA polymerase sigma factors;Sigma3 and sigma4 domains of RNA polymerase sigma factors	RNA polymerase sigma factor, region 2;RNA polymerase sigma factor, region 3/4-like;RNA polymerase sigma-70;RNA polymerase sigma-70 region 2;RNA polymerase sigma-70 region 3;RNA polymerase sigma-70 region 4
g34278	g34278.t2	sp|O22056|SIGB_ARATH	207	7	2	UniRef90_A0AAE1JKG4	0	0	1	PF04539;PF04542;PF04545	IPR000943;IPR007624;IPR007627;IPR007630;IPR013324;IPR013325	GO:0003700(InterPro);GO:0006352(InterPro);GO:0006355(InterPro)	Sigma-70 factors family signature 2.;Sigma-70 region 2;Sigma-70 region 3;Sigma-70, region 4;Sigma2 domain of RNA polymerase sigma factors;Sigma3 and sigma4 domains of RNA polymerase sigma factors	RNA polymerase sigma factor, region 2;RNA polymerase sigma factor, region 3/4-like;RNA polymerase sigma-70;RNA polymerase sigma-70 region 2;RNA polymerase sigma-70 region 3;RNA polymerase sigma-70 region 4
